ISO28178
FILE_DESCRIPTOR	"FOGRA51_MW3_Subset"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co. KG, Heidelberger Druckmaschinen AG"
CREATED	"May 2015"
TARGET_TYPE	"FOGRA Media Wedge v3, extracted from ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM, print substrate 1 = premium coated, fluorescence moderate (8-14 DeltaB according to ISO 15397), 115 g/m2, tone value increase curves A (CMYK)"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	72
BEGIN_DATA
1	100	0	0	0	56.12	-34.9	-52.52
2	70	0	0	0	66.57	-24.03	-39.84
3	40	0	0	0	79.15	-12.57	-24.94
4	20	0	0	0	87.2	-5.64	-15.58
5	10	0	0	0	91.19	-2.28	-10.93
6	0	100	0	0	48.06	75.29	-5.18
7	0	70	0	0	60.42	52.69	-9.17
8	0	40	0	0	75.43	28.45	-9.24
9	0	20	0	0	85.2	14.67	-8.29
10	0	10	0	0	90.08	8.15	-7.42
11	0	0	100	0	88.94	-4.04	92.37
12	0	0	70	0	90.44	-4.21	61.28
13	0	0	40	0	92.3	-2.85	30.21
14	0	0	20	0	93.66	-1.17	11.88
15	0	0	10	0	94.39	-0.05	3.02
16	0	0	0	10	88.87	1.2	-5.84
17	0	0	0	20	82.71	0.94	-5.62
18	0	0	0	40	69.76	0.49	-4.9
19	0	0	0	60	55.11	0.16	-3.9
20	0	0	0	80	37.53	-0.06	-2.55
21	0	0	0	100	16	0.07	-0.33
22	0	100	0	100	13.3	8.89	4.27
23	0	70	70	60	33.12	25.82	20
24	0	0	70	80	34.66	-3.35	21.33
25	100	100	0	0	24.74	21.12	-47.45
26	70	70	0	0	40.13	17.91	-38.49
27	40	40	0	0	62.24	11.37	-26.06
28	20	20	0	0	78.13	6.82	-17.1
29	10	10	0	0	86.47	4.14	-11.97
30	0	100	100	0	47.99	69.33	45.87
31	0	70	70	0	58.43	49.19	36.75
32	0	40	40	0	73.41	25.29	20.43
33	0	20	20	0	83.99	12.38	8.29
34	0	10	10	0	89.49	6.73	1.3
35	100	0	100	0	49.45	-65.93	24.34
36	70	0	70	0	61.29	-40.43	18.62
37	40	0	40	0	76.04	-19.68	8.86
38	20	0	20	0	85.72	-8.99	2.17
39	10	0	10	0	90.49	-4.02	-1.77
40	10	6	6	0	88.02	0.65	-6.52
41	20	12	12	0	80.96	-0.21	-6.62
42	40	27	27	0	66.01	-1.2	-5.85
43	60	45	45	0	50.74	-2.08	-4.61
44	80	65	65	0	36.49	-4.67	-4.6
45	100	85	85	0	26.3	-8.17	-4.54
46	100	0	0	100	12.18	-3.46	-6.2
47	20	100	70	60	24.72	31.23	11.25
48	70	0	70	80	24.64	-16.37	6.71
49	100	100	100	0	23.26	-1.43	-1.68
50	70	70	70	0	37.56	6.18	2.28
51	40	40	40	0	59.91	5.85	1.87
52	20	20	20	0	76.83	3.86	-1.11
53	10	10	10	0	85.82	2.56	-3.46
54	20	70	70	0	52.33	38.11	27.14
55	40	70	70	20	40.75	22.13	15.28
56	40	100	100	20	32.07	39.11	20.63
57	40	100	40	20	32.33	43.36	-4.12
58	40	40	100	20	50.09	0.97	42.51
59	100	40	100	20	33.86	-36.19	11.18
60	100	40	40	20	36.13	-25.27	-21.82
61	100	100	40	20	21.98	7.77	-24.64
62	10	40	40	0	70.14	20.29	15.78
63	0	40	100	0	70.62	24.83	71.77
64	0	100	40	0	48.17	72.08	14.73
65	40	100	0	0	37.42	55.26	-24.13
66	40	0	100	0	72.38	-23.8	65.39
67	100	0	40	0	52.96	-51.61	-21.76
68	100	40	0	0	43.67	-14.81	-50.35
69	0	0	0	0	95	1.5	-6
70	0	0	100	100	15.37	-3.2	6.36
71	0	70	0	60	34.64	29.5	-5.7
72	70	0	0	80	26.43	-10.25	-15.17
END_DATA
