ISO28178
FILE_DESCRIPTOR	"FOGRA52_MW3_Subset"
ORIGINATOR	"Fogra, www.fogra.org, developed with GMG GmbH & Co. KG, Heidelberger Druckmaschinen AG"
CREATED	"May 2015"
TARGET_TYPE	"FOGRA Media Wedge v3, extracted from ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM, print substrate 5 = Wood-free uncoated, fluorescence high (> 14 DeltaB according to ISO 15397), 120 g/m2, tone value increase curves C (CMYK)"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	72
BEGIN_DATA
1	100	0	0	0	58.7	-22.35	-48.12
2	70	0	0	0	66.13	-17.82	-40.45
3	40	0	0	0	76.45	-10.28	-29.09
4	20	0	0	0	84.29	-4.47	-20.44
5	10	0	0	0	88.67	-1.16	-15.51
6	0	100	0	0	54.54	60.07	-4.3
7	0	70	0	0	62.3	47.89	-8.22
8	0	40	0	0	73.74	30	-10.32
9	0	20	0	0	82.74	17.07	-10.66
10	0	10	0	0	87.84	10.05	-10.46
11	0	0	100	0	87.66	-2.65	72.38
12	0	0	70	0	88.89	-2.96	53.84
13	0	0	40	0	90.59	-2.19	28.94
14	0	0	20	0	91.9	-0.46	10.79
15	0	0	10	0	92.65	0.82	0.84
16	0	0	0	10	86.16	2.25	-9.01
17	0	0	0	20	79.36	2.03	-8.1
18	0	0	0	40	66.75	1.6	-6.39
19	0	0	0	60	54.52	1.49	-4.08
20	0	0	0	80	42.14	1.38	-1.76
21	0	0	0	100	32.69	1.24	0.11
22	0	100	0	100	29.84	7.72	2.31
23	0	70	70	60	39.95	15.64	9.18
24	0	0	70	80	41	-1.42	11.31
25	100	100	0	0	38.47	9.76	-31.96
26	70	70	0	0	46.26	11.7	-31.09
27	40	40	0	0	60.71	10.99	-26.76
28	20	20	0	0	74.76	8.33	-20.19
29	10	10	0	0	83.36	5.91	-15.71
30	0	100	100	0	52.59	55.96	25.52
31	0	70	70	0	59.68	44.8	23.75
32	0	40	40	0	71.21	27.42	16.2
33	0	20	20	0	81.25	14.82	6.55
34	0	10	10	0	87.02	8.58	-0.61
35	100	0	100	0	51.97	-41.41	11.25
36	70	0	70	0	60.89	-32	10.06
37	40	0	40	0	72.77	-19.38	5.41
38	20	0	20	0	82.46	-8.61	-0.93
39	10	0	10	0	87.76	-3.15	-5.03
40	10	6	6	0	84.94	1.93	-9.69
41	20	12	12	0	77.32	1.07	-9.52
42	40	27	27	0	63.31	-0.49	-8.22
43	60	45	45	0	51.99	-1	-7.01
44	80	65	65	0	42.78	-2.14	-7.05
45	100	85	85	0	36.53	-2.33	-6.13
46	100	0	0	100	30.08	-1.53	-3.38
47	20	100	70	60	34.91	16.04	3.68
48	70	0	70	80	34.75	-6.63	2.48
49	100	100	100	0	34.61	0.58	-4.25
50	70	70	70	0	43.21	3.74	-3.16
51	40	40	40	0	58.22	5.11	-1.89
52	20	20	20	0	73.17	5.05	-3.83
53	10	10	10	0	82.49	4.15	-6.14
54	20	70	70	0	53.62	30.3	13.86
55	40	70	70	20	44.07	13.33	4.65
56	40	100	100	20	38.56	20.76	6.46
57	40	100	40	20	40.53	23.55	-5.62
58	40	40	100	20	48.98	0.92	18.37
59	100	40	100	20	39.36	-15	1.93
60	100	40	40	20	41.84	-11.25	-14.98
61	100	100	40	20	34.37	4.65	-15.02
62	10	40	40	0	67.49	21.18	10.97
63	0	40	100	0	68.39	28.16	46.22
64	0	100	40	0	53.46	57.91	8.95
65	40	100	0	0	44.95	34.24	-19.69
66	40	0	100	0	69.63	-23.27	41.16
67	100	0	40	0	55.74	-34.91	-17.35
68	100	40	0	0	48.01	-6.69	-40.95
69	0	0	0	0	93.5	2.5	-10
70	0	0	100	100	32.62	-1.23	6.32
71	0	70	0	60	42	19.32	-3.15
72	70	0	0	80	36.11	-3.79	-7.95
END_DATA
