ISO28178
FILE_DESCRIPTOR	"FOGRA56_MW3_Subset"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co. KG, Heidelberger Druckmaschinen AG"
CREATED	"January 2019"
TARGET_TYPE	"FOGRA Media Wedge v3, extracted from ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM. print substrate 1 = premium coated, fluorescence moderate (8-14 DeltaB according to ISO 15397), 115 g/m2. tone value increase curves A (CMYK), laminated with matte OPP film"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	72
BEGIN_DATA
1	100	0	0	0	57.19	-32.96	-50.98
2	70	0	0	0	63.8	-26.18	-42.37
3	40	0	0	0	75.1	-15.8	-28.82
4	20	0	0	0	83.89	-7.91	-18.46
5	10	0	0	0	88.8	-3.41	-12.59
6	0	100	0	0	49.78	72.62	-3.89
7	0	70	0	0	57.56	57.78	-7.58
8	0	40	0	0	70.58	35.27	-8.87
9	0	20	0	0	81.22	19.35	-8.51
10	0	10	0	0	87.4	10.76	-7.59
11	0	0	100	0	89.19	-4.09	89.55
12	0	0	70	0	89.9	-4.3	68
13	0	0	40	0	91.27	-3.35	39.06
14	0	0	20	0	92.51	-1.84	18.32
15	0	0	10	0	93.28	-0.32	6.68
16	0	0	0	10	85.49	1.16	-5.66
17	0	0	0	20	77.43	0.84	-5.6
18	0	0	0	40	63.05	0.36	-4.87
19	0	0	0	60	48.94	0.04	-3.65
20	0	0	0	80	35.3	-0.2	-2.44
21	0	0	0	100	22.17	-0.25	-0.59
22	0	100	0	100	23.06	2.06	2.78
23	0	70	70	60	32.97	22.07	14.69
24	0	0	70	80	34.76	-3	16.67
25	100	100	0	0	29.35	16.78	-41.55
26	70	70	0	0	39.64	16.45	-37.52
27	40	40	0	0	57.23	12.52	-28.21
28	20	20	0	0	72.89	8.37	-19.81
29	10	10	0	0	82.69	5.11	-13.82
30	0	100	100	0	49.95	66.39	39.28
31	0	70	70	0	57.13	52.36	34.69
32	0	40	40	0	69.49	31.05	23.02
33	0	20	20	0	80.07	16.44	11.53
34	0	10	10	0	86.76	8.86	3.92
35	100	0	100	0	51.16	-61.16	22.53
36	70	0	70	0	59.3	-43.59	18.99
37	40	0	40	0	71.95	-24.17	11.3
38	20	0	20	0	82.2	-12.26	4.61
39	10	0	10	0	87.92	-5.66	-0.21
40	10	6	6	0	84.6	0.64	-6.46
41	20	12	12	0	76.36	-0.66	-6.67
42	40	27	27	0	60.97	-1.84	-5.42
43	60	45	45	0	48.27	-3.49	-4.78
44	80	65	65	0	37.77	-5.31	-4.02
45	100	85	85	0	30.82	-7.06	-3.71
46	100	0	0	100	22.11	0.61	-2.02
47	20	100	70	60	28	21.55	6.25
48	70	0	70	80	27.53	-12.03	4.16
49	100	100	100	0	28.58	-1.35	-2.11
50	70	70	70	0	38.22	3.85	0.86
51	40	40	40	0	55.62	5.55	1.28
52	20	20	20	0	71.84	4.46	-0.41
53	10	10	10	0	81.94	3.18	-2.7
54	20	70	70	0	50.58	37.67	23.48
55	40	70	70	20	39	18.47	11.17
56	40	100	100	20	33.63	30.23	12.35
57	40	100	40	20	33.56	34.35	-4.54
58	40	40	100	20	46.69	0.34	31.47
59	100	40	100	20	35.51	-28.36	7.98
60	100	40	40	20	36.95	-20.48	-16.63
61	100	100	40	20	27.24	4.26	-18.01
62	10	40	40	0	65.64	24.05	16.81
63	0	40	100	0	68.42	29.1	64.57
64	0	100	40	0	49.99	69.36	13.95
65	40	100	0	0	38.77	48.9	-23.85
66	40	0	100	0	69.74	-27.75	57.04
67	100	0	40	0	53.98	-50.21	-15.89
68	100	40	0	0	44.78	-12.23	-47.7
69	0	0	0	0	94.11	1.57	-5.72
70	0	0	100	100	22.93	-2.06	0.51
71	0	70	0	60	33.15	26.24	-3.97
72	70	0	0	80	28.04	-7.63	-12.6
END_DATA
