ISO28178
FILE_DESCRIPTOR	"FOGRA57_MW3_Subset"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co KG, Heidelberger Druckmaschinen AG"
CREATED	"January 2019"
TARGET_TYPE	"FOGRA Media Wedge v3, extracted from ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM. print substrate 1 = premium coated, fluorescence moderate (8-14 DeltaB according to ISO 15397), 115 g/m2. tone value increase curves A (CMYK), laminated with glossy OPP film"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	72
BEGIN_DATA
1	100	0	0	0	55.39	-35.65	-52.83
2	70	0	0	0	62.53	-27.64	-43.6
3	40	0	0	0	74.38	-16.39	-29.42
4	20	0	0	0	83.49	-8.18	-18.71
5	10	0	0	0	88.55	-3.56	-12.68
6	0	100	0	0	47.38	76.95	-3.91
7	0	70	0	0	55.87	60.38	-7.78
8	0	40	0	0	69.68	36.29	-9.02
9	0	20	0	0	80.74	19.73	-8.57
10	0	10	0	0	87.11	10.9	-7.59
11	0	0	100	0	88.9	-4.17	95.67
12	0	0	70	0	89.64	-4.41	71.31
13	0	0	40	0	91.05	-3.47	40.45
14	0	0	20	0	92.34	-1.93	18.93
15	0	0	10	0	93.14	-0.39	7
16	0	0	0	10	85.13	1.11	-5.6
17	0	0	0	20	76.79	0.79	-5.55
18	0	0	0	40	61.7	0.32	-4.8
19	0	0	0	60	46.43	0.01	-3.5
20	0	0	0	80	30.56	-0.24	-2.09
21	0	0	0	100	11.69	-0.48	0.59
22	0	100	0	100	9.94	10.23	4.07
23	0	70	70	60	27.84	26.31	21.34
24	0	0	70	80	29.98	-3.55	23.88
25	100	100	0	0	22.85	22.08	-48.02
26	70	70	0	0	36.08	18.51	-40.5
27	40	40	0	0	55.62	13.09	-29.28
28	20	20	0	0	72.11	8.54	-20.21
29	10	10	0	0	82.26	5.15	-13.97
30	0	100	100	0	47.44	70.56	48.78
31	0	70	70	0	55.36	54.86	38.82
32	0	40	40	0	68.51	32.02	24.37
33	0	20	20	0	79.54	16.78	12.06
34	0	10	10	0	86.44	8.97	4.19
35	100	0	100	0	48.97	-67.9	26.01
36	70	0	70	0	57.77	-46.49	20.88
37	40	0	40	0	71.1	-25.11	12.05
38	20	0	20	0	81.73	-12.63	4.94
39	10	0	10	0	87.63	-5.85	-0.04
40	10	6	6	0	84.21	0.57	-6.44
41	20	12	12	0	75.71	-0.75	-6.68
42	40	27	27	0	59.6	-2.02	-5.46
43	60	45	45	0	45.91	-3.87	-4.85
44	80	65	65	0	33.93	-6.07	-4.03
45	100	85	85	0	25.12	-8.7	-3.78
46	100	0	0	100	9.78	-4.32	-6.26
47	20	100	70	60	20.87	28.63	11.7
48	70	0	70	80	20.47	-17.93	7.59
49	100	100	100	0	21.99	-1.31	-1.48
50	70	70	70	0	34.45	4.42	1.64
51	40	40	40	0	53.89	5.81	1.67
52	20	20	20	0	71.01	4.54	-0.23
53	10	10	10	0	81.48	3.18	-2.58
54	20	70	70	0	48.33	40.1	26.83
55	40	70	70	20	35.3	20.88	14.05
56	40	100	100	20	28.59	35.67	18.84
57	40	100	40	20	28.6	40.29	-4.68
58	40	40	100	20	44.11	0.41	38.18
59	100	40	100	20	31.17	-35.17	11.25
60	100	40	40	20	32.73	-25.01	-18.43
61	100	100	40	20	19.61	6.93	-22.6
62	10	40	40	0	64.49	24.91	17.93
63	0	40	100	0	67.36	30.1	72.04
64	0	100	40	0	47.55	73.59	15.89
65	40	100	0	0	35.02	54.28	-26.02
66	40	0	100	0	68.78	-28.83	62.36
67	100	0	40	0	51.96	-55.14	-16.49
68	100	40	0	0	41.83	-13.94	-50.54
69	0	0	0	0	93.99	1.52	-5.66
70	0	0	100	100	13.21	-3.29	8.14
71	0	70	0	60	28	31.07	-4.16
72	70	0	0	80	21.05	-11.41	-15.58
END_DATA
