ISO28178
FILE_DESCRIPTOR	"FOGRA60_MW3_Subset"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co. KG"
CREATED	"February 2021"
TARGET_TYPE	"FOGRA Media Wedge v3, extracted from ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-9:2021, White coated metal 1, fluorescence No, tone value increase curves A (CMYK)"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	72
BEGIN_DATA
1	100	0	0	0	50	-32	-48
2	70	0	0	0	58.061	-23.51	-37.832
3	40	0	0	0	68.379	-14.231	-24.818
4	20	0	0	0	75.665	-8.484	-15.974
5	10	0	0	0	79.776	-5.572	-11.385
6	0	100	0	0	42	64	-5
7	0	70	0	0	52.205	45.314	-8.305
8	0	40	0	0	64.896	24.249	-8.643
9	0	20	0	0	73.835	11.764	-7.746
10	0	10	0	0	78.7	5.153	-7.119
11	0	0	100	0	79	-6	88
12	0	0	70	0	80.113	-6.214	59.175
13	0	0	40	0	81.569	-5.315	30.833
14	0	0	20	0	82.553	-4.105	13.003
15	0	0	10	0	83.286	-3.32	3.899
16	0	0	0	10	77.386	-1.845	-5.484
17	0	0	0	20	71.21	-1.662	-5.241
18	0	0	0	40	59.432	-1.418	-4.362
19	0	0	0	60	47.007	-1.154	-3.301
20	0	0	0	80	32.272	-1.053	-2.057
21	0	0	0	100	17	-1	-0
22	0	100	0	100	11.711	19.092	0.136
23	0	70	70	60	28.19	24.472	20.407
24	0	0	70	80	32.058	-5.04	23.916
25	100	100	0	0	20	21	-40
26	70	70	0	0	33.284	16.978	-34.824
27	40	40	0	0	51.571	10.477	-25.217
28	20	20	0	0	66.131	4.776	-17.307
29	10	10	0	0	74.539	1.601	-12.448
30	0	100	100	0	41	57	43
31	0	70	70	0	49.949	41.807	36.019
32	0	40	40	0	62.279	22.615	22.533
33	0	20	20	0	72.477	9.819	9.566
34	0	10	10	0	77.987	3.902	2.115
35	100	0	100	0	44	-60	28
36	70	0	70	0	53.92	-37.334	17.436
37	40	0	40	0	65.829	-20.286	8.686
38	20	0	20	0	74.418	-11.188	2.03
39	10	0	10	0	79.012	-6.955	-1.764
40	10	6	6	0	76.228	-2.246	-6.342
41	20	12	12	0	68.895	-2.14	-6.615
42	40	27	27	0	55.083	-1.234	-4.395
43	60	45	45	0	42.244	-0.553	-2.402
44	80	65	65	0	30.469	-0.893	-0.447
45	100	85	85	0	22.292	0.668	3.579
46	100	0	0	100	14.982	-9.517	-15.067
47	20	100	70	60	21.55	26.434	12.948
48	70	0	70	80	24.282	-19.352	8.112
49	100	100	100	0	20.318	5.909	9.132
50	70	70	70	0	31.351	8.135	5.746
51	40	40	40	0	49.496	5.92	3.39
52	20	20	20	0	64.928	2.24	-0.405
53	10	10	10	0	73.929	0.116	-3.2
54	20	70	70	0	44.047	32.671	26.564
55	40	70	70	20	32.709	20.468	14.825
56	40	100	100	20	27.281	31.454	22.914
57	40	100	40	20	26.979	35.165	0.01
58	40	40	100	20	39.882	3.502	36.262
59	100	40	100	20	28.355	-25.001	16.177
60	100	40	40	20	29.686	-17.822	-16.701
61	100	100	40	20	17.9	11.157	-15.522
62	10	40	40	0	58.963	17.937	17.071
63	0	40	100	0	60.215	22.256	65.443
64	0	100	40	0	41.599	60.041	17.24
65	40	100	0	0	31.446	46.058	-21.168
66	40	0	100	0	63.338	-23.044	62.238
67	100	0	40	0	46.954	-47.304	-19.009
68	100	40	0	0	36.29	-9.992	-45.031
69	0	0	0	0	84	-2.002	-6
70	0	0	100	100	19.994	-6.642	16.905
71	0	70	0	60	28.829	28.86	-5.668
72	70	0	0	80	24.072	-11.684	-17.543
END_DATA
