Group,Name of preset,Include as default [yes/no],Comments,Key
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-300p-1page TC3.00 by Pharmacist,no,,__chromiq_tc300_builtin__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-702p-2pages ABW-optimized by Pharmacist,yes,,__chromiq_abw702_builtin__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A3-924p-1page TC9.24 by Pharmacist,yes,,__chromiq_tc924_cm_a3_builtin__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A3+-1160p-1page TC9.18 extended greys by Pharmacist,yes,,__chromiq_tc918eg_cm_a3_builtin__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-84p-1page-Portrait-w26.0mm-Fast Reading Speed-Hand Held · Full layout setup,no,,__chromiq_knut_cm_a4_84p_1page_portrait_w26_0mm_fast_reading_speed_hand_held__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-144p-1page-Portrait-w14.0mm-Fast Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_a4_144p_1page_portrait_w14_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-204p-1page-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_204p_1page_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-306p-1page-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_a4_306p_1page_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-374p-1page-Portrait-w10.0mm-Very Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_374p_1page_portrait_w10_0mm_very_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-408p-2pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_a4_408p_2pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-612p-2pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_612p_2pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-612p-3pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_612p_3pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-1224p-4pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_1224p_4pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-1224p-6pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_1224p_6pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-1615p-5pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_1615p_5pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-1623p-8pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_1623p_8pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-2040p-10pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_2040p_10pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A4-2142p-7pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_a4_2142p_7pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-84p-1page-Portrait-w26.0mm-Fast Reading Speed-Hand Held · Full layout setup,no,,__chromiq_knut_cm_letter_84p_1page_portrait_w26_0mm_fast_reading_speed_hand_held__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-144p-1page-Portrait-w15.0mm-Fast Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_letter_144p_1page_portrait_w15_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-204p-1page-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_204p_1page_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-306p-1page-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_letter_306p_1page_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-374p-1page-Portrait-w10.0mm-Very Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_374p_1page_portrait_w10_0mm_very_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-408p-2pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_letter_408p_2pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-612p-2pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_612p_2pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-612p-3pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,yes,,__chromiq_knut_cm_letter_612p_3pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-1224p-4pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_1224p_4pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-1224p-6pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_1224p_6pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-1615p-5pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_1615p_5pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-1623p-8pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_1623p_8pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-2040p-10pages-Portrait-w10.0mm-Fast Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_2040p_10pages_portrait_w10_0mm_fast_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · Letter-2142p-7pages-Portrait-w10.0mm-Slow Reading Speed · Full layout setup,no,,__chromiq_knut_cm_letter_2142p_7pages_portrait_w10_0mm_slow_reading_speed__
ColorMunki / i1Studio / ColorChecker Studio,ColorMunki · A3-180p-1page-Landscape-w26.0mm-Fast Reading Speed-Hand Held · Full layout setup,no,,__chromiq_knut_cm_a3_180p_1page_landscape_w26_0mm_fast_reading_speed_hand_held__
